13	337
16	16
16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	
4	5	5	6	5	5	5	6	7	6	7	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	7	6	7	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	11	12	13	14	9	9	9	9	9	9	9	9	9	10	11	12	13	14	9	9	9	9	9	9	9	15	16	17	9	9	9	9	9	9	9	9	9	9	9	9	9	10	11	12	13	14	9	9	9	9	9	9	9	9	9	9	9	15	16	17	9	9	9	9	9	9	9	10	11	12	13	14	9	9	9	9	9	9	9	9	9	10	11	12	13	14	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	11	12	13	14	9	9	9	9	9	15	16	17	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	11	12	13	14	9	9	9	9	9	9	9	15	16	17	9	18	19	20	21	22	23	0	24	25	26	27	28	29	23	30	31	32	33	34	
35	4	5	36	37	38	5	39	40	36	40	5	5	5	5	5	5	41	42	43	5	5	5	5	5	5	5	5	5	41	42	43	5	5	5	5	5	41	42	43	5	5	5	5	5	36	40	36	40	5	5	41	42	43	5	5	5	41	42	43	5	36	37	38	6	38	5	39	37	38	5	5	5	5	5	41	42	43	5	5	5	5	5	41	42	43	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	41	43	5	5	5	41	42	43	5	5	5	5	41	43	5	5	5	5	5	41	42	43	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	44	45	46	47	48	9	9	9	9	9	9	9	9	9	44	45	46	47	48	9	9	9	9	9	9	9	49	50	51	9	9	9	9	9	9	9	9	9	9	9	9	9	44	45	46	47	48	9	9	9	9	9	9	9	9	9	9	9	49	50	51	9	9	9	9	9	9	9	44	45	46	47	48	9	9	9	9	9	9	9	9	9	44	45	46	47	48	9	9	9	9	9	9	9	9	9	52	53	54	9	9	9	9	9	9	9	9	9	9	9	9	9	44	45	46	47	48	9	9	9	9	9	49	50	51	9	9	9	9	9	9	9	9	9	52	53	54	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	44	45	46	47	48	9	9	9	9	9	9	9	49	50	51	9	18	55	56	57	58	0	24	59	60	0	61	62	63	0	0	64	65	28	66	
35	67	5	68	69	70	71	72	71	72	71	5	5	5	5	5	5	73	73	74	73	5	75	76	73	74	75	76	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	68	71	72	71	5	5	5	5	5	5	5	5	5	5	5	5	68	69	70	69	70	71	72	69	70	71	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	77	78	78	78	5	5	5	5	5	73	73	74	75	76	73	5	5	73	73	5	73	74	75	76	5	5	5	5	5	5	5	5	5	5	5	5	8	9	9	9	9	9	9	9	15	16	17	9	9	9	9	9	9	9	9	9	9	9	15	16	17	9	9	9	9	9	9	9	9	9	9	9	79	80	81	81	81	81	81	81	81	82	83	9	9	9	9	9	9	9	15	16	17	9	9	9	9	9	9	9	9	9	9	9	84	85	81	81	81	82	83	9	79	80	81	81	81	82	83	9	9	9	9	9	9	9	9	9	15	16	17	9	9	9	9	9	79	80	81	81	81	81	81	81	81	82	83	9	10	11	12	13	14	9	84	85	81	82	83	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	11	12	13	14	9	9	9	9	9	9	9	9	9	10	11	12	13	14	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	18	19	86	87	88	89	90	91	92	89	93	26	0	94	95	31	32	33	34	
96	97	5	72	98	99	100	72	100	72	100	5	41	43	5	5	75	101	102	102	102	103	101	104	102	102	101	104	76	5	5	5	5	5	41	43	5	5	5	5	5	5	5	5	5	72	100	72	100	5	5	5	5	5	5	5	5	5	5	5	5	72	98	99	98	99	100	72	98	99	100	5	41	43	5	5	5	5	5	5	5	5	5	5	5	5	41	43	5	5	5	5	105	106	106	107	5	41	42	43	75	101	102	102	101	104	102	76	75	101	102	103	102	102	101	104	76	5	5	41	42	43	5	5	5	5	5	5	8	9	52	53	54	9	9	9	49	50	51	9	9	9	9	9	9	9	9	9	9	9	49	50	51	9	9	9	9	9	9	9	9	9	9	9	18	108	109	110	111	110	111	110	111	110	112	9	52	53	54	9	9	9	49	50	51	9	9	9	9	9	9	9	9	9	9	9	113	114	111	110	111	110	112	9	18	108	109	110	111	115	116	9	9	9	9	9	9	9	9	9	49	50	51	9	9	9	9	9	18	108	109	110	111	110	111	110	111	110	112	9	44	45	46	47	48	9	113	114	111	110	112	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	52	53	54	9	9	9	9	9	44	45	46	47	48	9	9	9	9	9	9	9	9	9	44	45	46	47	48	9	9	9	9	9	9	9	9	9	9	9	9	9	52	53	54	9	9	9	9	9	18	55	117	118	119	120	121	0	0	120	121	0	120	122	121	64	65	28	66	
123	97	5	72	124	98	125	72	125	72	125	5	5	5	5	126	127	128	127	128	127	128	128	129	127	128	128	129	127	130	5	5	5	5	5	73	73	74	75	76	5	74	5	5	5	72	125	72	125	5	5	5	77	78	78	78	78	78	78	78	5	72	124	98	124	98	125	72	124	98	125	5	5	5	5	5	77	78	5	5	77	78	78	78	78	78	5	5	5	5	77	78	105	106	106	107	5	5	5	126	127	128	127	128	128	129	127	128	128	129	127	128	127	128	128	129	127	130	5	5	5	73	73	74	5	74	75	76	8	9	10	11	12	13	14	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	79	80	81	81	81	81	81	81	81	81	131	19	132	133	132	133	132	133	132	134	116	9	10	11	12	13	14	9	9	9	9	9	79	135	83	9	15	16	17	9	136	137	138	139	132	133	132	134	116	9	18	19	132	133	132	134	140	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	131	19	132	133	132	133	132	133	132	134	116	9	9	9	9	9	136	137	138	139	132	134	116	9	9	9	9	9	9	9	9	9	9	9	79	80	81	81	81	82	83	9	10	11	12	13	14	9	9	9	9	9	9	9	9	9	9	9	15	16	17	9	9	9	9	9	9	9	9	9	79	80	81	81	81	81	81	81	81	82	83	9	10	11	12	13	14	9	9	9	18	19	86	87	141	94	142	89	60	24	143	91	144	91	145	31	32	33	34	
123	146	147	148	149	150	151	150	151	150	152	153	147	148	148	154	155	154	155	154	155	154	149	155	155	154	149	155	155	154	152	148	152	153	126	128	127	127	128	128	156	127	130	5	147	148	151	150	152	153	5	5	105	106	106	106	106	106	106	107	147	148	149	150	149	150	151	150	149	150	152	153	147	148	152	153	105	107	5	5	105	106	106	106	106	107	5	5	5	5	105	107	105	106	106	107	147	148	148	154	155	154	155	154	149	155	155	154	149	155	155	154	155	154	149	155	155	154	152	153	126	128	127	127	156	127	128	128	8	9	44	45	46	47	48	9	9	9	9	9	52	53	54	9	9	9	9	9	9	9	9	9	9	9	18	108	109	110	111	110	111	110	111	110	157	132	133	132	133	132	133	132	133	158	116	9	44	45	46	47	48	9	9	9	9	9	18	159	112	9	49	50	51	9	9	9	113	160	133	132	133	158	116	9	18	55	133	132	133	132	161	110	111	110	111	110	111	110	111	110	111	110	111	110	111	110	111	110	157	132	133	132	133	132	133	132	133	158	116	9	9	9	9	9	9	9	113	160	133	158	116	9	9	9	9	9	9	9	9	9	9	9	18	108	109	110	111	110	112	9	44	45	46	47	48	9	9	9	9	9	9	9	9	9	9	9	49	50	51	9	9	9	9	9	9	9	9	9	18	108	109	110	111	110	111	110	111	110	112	9	44	45	46	47	48	9	9	9	162	163	117	118	119	120	121	120	164	59	60	0	0	0	0	64	65	28	66	
165	166	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	77	78	105	106	106	106	106	106	106	107	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	168	169	167	167	105	106	106	106	106	107	167	167	77	78	168	169	105	106	106	107	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	167	8	9	9	9	9	9	9	9	9	9	9	9	10	11	12	13	170	80	81	81	81	81	81	81	81	81	131	19	132	133	132	133	132	133	132	133	132	133	132	133	132	133	132	133	132	134	116	9	9	9	9	9	9	9	79	135	83	9	18	171	116	9	9	9	9	9	9	9	113	139	132	133	132	133	172	9	173	133	132	133	174	80	81	175	176	133	132	133	132	133	132	133	174	80	81	175	176	133	132	133	132	133	132	133	132	133	132	133	132	177	49	50	178	179	49	50	180	50	181	139	132	134	182	50	183	135	184	179	79	80	81	81	81	81	131	19	132	133	132	134	116	9	9	9	9	9	79	80	81	82	83	9	9	9	9	9	79	80	81	81	81	82	83	9	9	9	79	80	81	81	131	19	132	133	132	133	132	133	132	134	116	9	9	9	9	9	9	9	9	9	185	186	187	188	189	190	94	91	144	191	192	89	90	191	30	31	32	33	34	
193	166	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	105	107	105	106	106	106	106	106	106	107	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	105	107	194	194	105	106	106	106	106	107	194	194	105	107	105	107	105	106	106	107	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	194	8	9	9	9	9	9	9	9	9	9	9	9	44	45	46	47	195	108	109	110	111	110	111	110	111	110	157	132	133	132	133	132	133	132	133	132	133	132	133	132	133	132	133	132	133	158	116	9	9	9	9	9	9	9	18	159	112	9	18	171	116	9	9	9	9	9	9	9	196	160	133	132	133	132	197	9	198	132	133	132	199	200	201	201	202	132	133	132	133	132	133	132	199	200	201	201	202	132	133	132	133	132	133	132	133	132	133	132	203	204	205	205	206	207	208	205	205	205	209	160	133	158	210	205	211	159	212	207	213	108	109	110	111	110	157	132	133	132	133	158	116	9	9	9	9	9	18	108	109	115	116	9	9	9	9	9	18	108	109	110	111	115	116	9	9	9	18	108	109	110	157	132	133	132	133	132	133	132	133	158	116	9	9	9	9	9	9	9	9	9	185	186	214	215	216	217	218	0	219	220	218	120	221	220	218	64	65	28	66	
